,unique_foods,input_number,avg_daily_food,avg_proportions_diff,Protein_positive_difference,Protein_negative_difference,Protein_none_difference,Calories_positive_difference,Calories_negative_difference,Calories_none_difference,Sodium_positive_difference,Sodium_negative_difference,Sodium_none_difference,Sugar_positive_difference,Sugar_negative_difference,Sugar_none_difference,Fat_positive_difference,Fat_negative_difference,Fat_none_difference,Carbs_positive_difference,Carbs_negative_difference,Carbs_none_difference,Fiber_positive_difference,Fiber_negative_difference,Fiber_none_difference,Protein_avg,Calories_avg,Sodium_avg,Sugar_avg,Fat_avg,Carbs_avg,Fiber_avg
0,255,173,1.4739884393063585,443.271676300578,45,127,1,57,116,0,104,69,0,73,98,2,67,104,2,159,14,0,0,0,173,128.4508670520231,2305.3526011560693,2062.5953757225434,81.60693641618496,77.73410404624278,184.53757225433526,0.0
1,251,60,4.183333333333334,190.55,59,1,0,36,24,0,49,11,0,12,47,1,43,16,1,38,21,1,0,0,60,42.5,1457.1666666666667,1670.2833333333333,76.21666666666667,42.28333333333333,181.2,0.0
2,38,7,5.428571428571429,718.5714285714286,5,2,0,3,4,0,6,1,0,0,0,7,5,2,0,6,1,0,5,2,0,46.142857142857146,1709.857142857143,1450.857142857143,0.0,38.142857142857146,115.85714285714286,17.142857142857142
3,157,27,5.814814814814815,72.48148148148148,25,2,0,25,2,0,22,5,0,0,0,27,24,3,0,26,1,0,0,0,27,42.7037037037037,912.4444444444445,1483.7407407407406,0.0,37.074074074074076,99.33333333333333,0.0
4,245,179,1.3687150837988826,1549.659217877095,105,73,1,134,45,0,121,58,0,108,70,1,122,56,1,0,0,179,141,29,9,188.37988826815644,2997.9385474860337,2003.9106145251396,121.26815642458101,77.19553072625699,0.0,35.22346368715084
5,502,115,4.3652173913043475,99.19130434782609,113,2,0,83,32,0,0,0,115,0,0,115,41,73,1,64,49,2,0,0,115,67.34782608695652,1357.0260869565218,0.0,0.0,54.495652173913044,141.29565217391306,0.0
6,70,15,4.666666666666667,31.533333333333335,13,2,0,12,3,0,0,0,15,12,3,0,11,2,2,10,5,0,15,0,0,59.4,852.4,0.0,34.266666666666666,25.533333333333335,100.86666666666666,8.866666666666667
7,574,85,6.752941176470588,1460.8,69,15,1,46,39,0,0,0,85,0,0,85,0,0,85,0,0,85,35,47,3,128.6,1975.2,0.0,0.0,0.0,0.0,27.41176470588235
8,8,1,8.0,577.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,25.0,1495.0,729.0,56.0,38.0,119.0,0.0
9,475,59,8.05084745762712,211.05084745762713,37,21,1,37,22,0,48,11,0,19,38,2,38,21,0,40,19,0,0,0,59,78.03389830508475,1880.0677966101696,1727.2203389830509,113.03389830508475,59.42372881355932,217.98305084745763,0.0
10,52,11,4.7272727272727275,105.9090909090909,10,1,0,11,0,0,7,4,0,9,2,0,10,1,0,11,0,0,0,0,11,46.54545454545455,920.6363636363636,1867.909090909091,30.272727272727273,32.18181818181818,86.72727272727273,0.0
11,467,144,3.2430555555555554,348.44444444444446,139,5,0,99,44,1,138,6,0,142,2,0,125,16,3,140,4,0,0,0,144,33.43055555555556,1140.0347222222222,916.1805555555555,18.916666666666668,30.229166666666668,96.52083333333333,0.0
12,653,128,5.1015625,71.390625,99,29,0,99,29,0,0,0,128,104,18,6,87,40,1,114,13,1,125,3,0,86.609375,1770.8984375,0.0,15.421875,137.1328125,39.671875,11.65625
13,17,4,4.25,49.5,4,0,0,3,1,0,4,0,0,4,0,0,2,2,0,4,0,0,0,0,4,37.25,684.75,1046.0,17.25,31.25,51.75,0.0
14,133,30,4.433333333333334,78.8,18,12,0,14,15,1,0,0,30,12,18,0,14,15,1,19,11,0,0,0,30,55.43333333333333,1178.9666666666667,0.0,53.0,41.766666666666666,130.7,0.0
15,245,104,2.355769230769231,57.75961538461539,104,0,0,95,8,1,92,12,0,0,0,104,56,45,3,87,17,0,80,17,7,55.51923076923077,999.5769230769231,1429.2403846153845,0.0,41.75961538461539,108.63461538461539,12.951923076923077
16,121,29,4.172413793103448,228.31034482758622,29,0,0,24,5,0,24,5,0,26,3,0,25,4,0,28,1,0,0,0,29,23.482758620689655,900.4827586206897,1272.0344827586207,28.862068965517242,30.79310344827586,78.03448275862068,0.0
17,152,19,8.0,95.57894736842105,16,3,0,11,8,0,9,10,0,11,8,0,10,8,1,14,5,0,0,0,19,60.421052631578945,1410.6315789473683,2388.0,62.21052631578947,55.05263157894737,157.42105263157896,0.0
18,48,11,4.363636363636363,439.8181818181818,11,0,0,6,5,0,10,1,0,0,0,11,8,3,0,9,2,0,11,0,0,39.0,1474.4545454545455,1266.0,0.0,35.0,142.45454545454547,7.7272727272727275
19,89,18,4.944444444444445,230.55555555555554,15,3,0,13,5,0,16,2,0,12,6,0,11,6,1,14,4,0,0,0,18,55.77777777777778,1265.888888888889,1702.6666666666667,40.94444444444444,37.333333333333336,133.83333333333334,0.0
20,225,30,7.5,119.13333333333334,18,12,0,25,5,0,16,14,0,16,14,0,21,9,0,26,4,0,0,0,30,79.4,1451.5666666666666,2490.5333333333333,53.4,51.43333333333333,155.63333333333333,0.0
21,21,5,4.2,52.4,3,2,0,4,1,0,5,0,0,5,0,0,3,2,0,5,0,0,0,0,5,47.2,768.2,1333.6,7.6,47.8,45.4,0.0
22,77,15,5.133333333333334,45.4,8,7,0,13,2,0,12,3,0,11,3,1,12,3,0,14,1,0,0,0,15,73.6,1108.4,2339.733333333333,36.6,45.0,104.33333333333333,0.0
23,90,26,3.4615384615384617,104.76923076923077,24,2,0,26,0,0,23,3,0,26,0,0,25,1,0,26,0,0,0,0,26,46.19230769230769,679.7307692307693,1081.7692307692307,22.807692307692307,19.73076923076923,53.76923076923077,0.0
24,128,30,4.266666666666667,388.93333333333334,28,2,0,29,1,0,0,0,30,0,0,30,29,1,0,0,0,30,30,0,0,38.766666666666666,784.0,0.0,0.0,26.666666666666668,0.0,9.7
25,69,19,3.6315789473684212,48.1578947368421,15,4,0,16,3,0,18,1,0,14,5,0,16,3,0,16,3,0,0,0,19,54.31578947368421,1186.7368421052631,551.2105263157895,64.6842105263158,32.578947368421055,157.6315789473684,0.0
26,1,1,1.0,7.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1.0,41.0,0.0,0.0,0.0,11.0,2.0
27,16,2,8.0,29.0,1,1,0,0,2,0,2,0,0,1,1,0,1,1,0,0,2,0,0,0,2,46.5,1661.5,1761.0,100.0,54.5,239.0,0.0
28,170,24,7.083333333333333,85.25,18,6,0,20,4,0,14,10,0,14,9,1,15,9,0,18,4,2,0,0,24,78.125,1200.9166666666667,1996.875,37.875,53.333333333333336,105.08333333333333,0.0
29,169,23,7.3478260869565215,104.34782608695652,21,2,0,22,1,0,0,0,23,22,1,0,8,15,0,21,2,0,16,5,2,70.6086956521739,1400.9565217391305,0.0,37.26086956521739,84.0,87.26086956521739,17.52173913043478
30,1072,180,5.955555555555556,1287.088888888889,141,35,4,176,4,0,80,100,0,0,0,180,127,48,5,0,0,180,177,3,0,95.5111111111111,2438.6833333333334,2531.883333333333,0.0,85.50555555555556,0.0,24.35
31,341,56,6.089285714285714,160.26785714285714,19,36,1,48,6,2,40,16,0,30,24,2,21,35,0,31,24,1,0,0,56,61.464285714285715,1364.5892857142858,1884.3392857142858,54.517857142857146,47.0,144.125,0.0
32,93,27,3.4444444444444446,212.25925925925927,27,0,0,21,6,0,17,10,0,0,0,27,20,7,0,16,11,0,26,1,0,41.148148148148145,1351.148148148148,2007.6296296296296,0.0,46.592592592592595,142.37037037037038,11.666666666666666
33,296,65,4.553846153846154,57.323076923076925,52,13,0,54,11,0,35,30,0,0,0,65,37,26,2,52,12,1,60,5,0,54.76923076923077,1196.1538461538462,2211.5846153846155,0.0,45.13846153846154,135.6153846153846,11.03076923076923
34,82,10,8.2,31.4,8,2,0,9,1,0,10,0,0,7,3,0,7,3,0,10,0,0,0,0,10,41.6,801.5,1152.2,38.6,28.7,94.9,0.0
35,494,113,4.371681415929204,50.19469026548673,79,33,1,71,42,0,17,96,0,15,97,1,89,23,1,44,69,0,0,0,113,95.23893805309734,2147.592920353982,3395.336283185841,161.35398230088495,53.75221238938053,322.46017699115043,0.0
36,121,26,4.653846153846154,74.46153846153847,19,7,0,19,7,0,12,13,1,13,13,0,9,15,2,20,6,0,0,0,26,74.61538461538461,1742.576923076923,2792.1923076923076,72.26923076923077,76.8076923076923,203.1153846153846,0.0
37,130,178,0.7303370786516854,22.117977528089888,176,2,0,178,0,0,176,2,0,169,9,0,175,3,0,175,3,0,0,0,178,16.53370786516854,298.7865168539326,470.4325842696629,13.370786516853933,7.893258426966292,38.51123595505618,0.0
38,4,1,4.0,11.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,79.0,554.0,996.0,22.0,9.0,42.0,0.0
